创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,商品ID,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
1460681531,商销通投托管-经典大胸-自产-春夏-520送礼-ROI-5.19,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67da8cc20000000003028970,5c6e75ba000000001201be11,图文笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-春夏-520送礼-ROI-5.19,118124911,2025-05-19 11:29:39,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270102935,商销通投托管-星河日系-自产-秘密-23~35-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e67beb000000001d01dc58,5c6e75ba000000001201be11,视频笔记,6789ec0af1397f0015ee89f0,商销通投托管-星河日系-自产-秘密-23~35-ROI-4.14-视频,111380357,2025-04-14 11:00:39,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270048803,商销通投托管-星河日系-自产-秘密-高级感穿搭-ROI-4.14-视频,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67e67beb000000001d01dc58,5c6e75ba000000001201be11,视频笔记,6789ec0af1397f0015ee89f0,商销通投托管-星河日系-自产-秘密-高级感穿搭-ROI-4.14-视频,111361613,2025-04-14 11:00:11,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270276443,商销通投托管-星河日系-自产-秘密-店铺人群-ROI-4.14-视频,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67e67beb000000001d01dc58,5c6e75ba000000001201be11,视频笔记,6789ec0af1397f0015ee89f0,商销通投托管-星河日系-自产-秘密-店铺人群-ROI-4.14-视频,111375409,2025-04-14 10:59:37,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270276140,商销通投托管-糯糯杯大胸-自产-开挂-23~35-ROI-4.14,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67ebb7c0000000001b0249d3,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-开挂-23~35-ROI-4.14,111375386,2025-04-14 10:58:55,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270315885,商销通投托管-糯糯杯小胸-自产-开挂-高级感穿搭-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67ebb7c0000000001b0249d3,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-开挂-高级感穿搭-ROI-4.14,111375370,2025-04-14 10:58:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270275733,商销通投托管-糯糯杯大胸-自产-开挂-店铺人群-ROI-4.14,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67ebb7c0000000001b0249d3,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-开挂-店铺人群-ROI-4.14,111361539,2025-04-14 10:58:12,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270315475,商销通投托管-经典大胸-自产-治愈-23~35-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e5ede1000000001d0194d1,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-治愈-23~35-ROI-4.14-视频,111375351,2025-04-14 10:57:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270159430,商销通投托管-经典大胸-自产-治愈-高级感穿搭-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e5ede1000000001d0194d1,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-治愈-高级感穿搭-ROI-4.14-视频,111367188,2025-04-14 10:57:23,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270315115,商销通投托管-经典大胸-自产-治愈-店铺人群-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e5ede1000000001d0194d1,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-治愈-店铺人群-ROI-4.14-视频,111367175,2025-04-14 10:57:01,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
