创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
2532474050,直播通投托管-糯糯杯&经典&星河-达人-苦茶苦茶子-价敏囤货-ROI-10.8,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,67e278d5000000001b039392,60af984c000000000101fc0a,视频笔记,直播通投托管-糯糯杯&经典&星河-达人-苦茶苦茶子-价敏囤货-ROI-10.8,146758143,2025-10-08 11:14:10,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2532381701,直播通投托管-糯糯杯&经典&星河-达人-苦茶苦茶子-精致中产-ROI-10.8,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,67e278d5000000001b039392,60af984c000000000101fc0a,视频笔记,直播通投托管-糯糯杯&经典&星河-达人-苦茶苦茶子-精致中产-ROI-10.8,146764131,2025-10-08 11:13:36,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2532580641,直播通投托管-轻挺系列-自产-邪修-价敏囤货-ROI-10.8,暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,689d7c9b000000001c012acf,5c6e75ba000000001201be11,视频笔记,直播通投托管-轻挺系列-自产-邪修-价敏囤货-ROI-10.8,146781272,2025-10-08 11:10:18,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2532338957,直播通投托管-轻挺系列-自产-邪修-精致中产-ROI-10.8,暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,689d7c9b000000001c012acf,5c6e75ba000000001201be11,视频笔记,直播通投托管-轻挺系列-自产-邪修-精致中产-ROI-10.8,146775436,2025-10-08 11:09:37,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2527749649,直播通投托管-双层大胸-转载-穿衣臃肿-双十一人群-ROI-10.7,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68d34b31000000001101d18f,5c6e75ba000000001201be11,视频笔记,直播通投托管-双层大胸-自产-穿衣臃肿-双十一人群-ROI-10.7,146691890,2025-10-07 19:08:28,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2527749515,直播通投托管-双层大胸-转载-选对-双十一人群-ROI-10.7,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68d34e3b000000000b0133f9,5c6e75ba000000001201be11,视频笔记,直播通投托管-双层大胸-自产-选对-双十一人群-ROI-10.7,146686018,2025-10-07 19:07:53,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2527749255,直播通投托管-经典大胸-转载-慵懒感-双十一人群-ROI-10.7,被计划暂停,不满足审核条件,通投,直播间直接支付ROI,笔记（直播组件）,68d493750000000011015e69,5c6e75ba000000001201be11,视频笔记,直播通投托管-经典大胸-自产-慵懒感-双十一人群-ROI-10.7,146686002,2025-10-07 19:06:37,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2514557167,直播通投托管-双层大胸-转载-真的牛-核心-ROI-10.5-视频,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68c91f43000000001003d681,5c6e75ba000000001201be11,视频笔记,直播通投托管-双层大胸-转载-真的牛-核心-ROI-10.5-视频,146488167,2025-10-05 20:15:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2514718906,直播通投托管-双层大胸-转载-真的牛-直播人群-ROI-10.5,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68c91f43000000001003d681,5c6e75ba000000001201be11,视频笔记,直播通投托管-双层大胸-转载-真的牛-直播人群-ROI-10.5,146465297,2025-10-05 20:12:14,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491859017,直播通投托管-测线美-自产-侧颜-服饰人群-ROI-10.2,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,682da89000000000210019d8,5c6e75ba000000001201be11,视频笔记,直播通投托管-测线美-自产-赛马-服饰人群-ROI-10.2,146066975,2025-10-02 10:40:37,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491859016,直播通投托管-测线美-自产-侧颜-服饰人群-ROI-10.2,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,6811ea2d000000002100bec3,5c6e75ba000000001201be11,图文笔记,直播通投托管-测线美-自产-赛马-服饰人群-ROI-10.2,146066975,2025-10-02 10:40:37,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2492024809,直播通投托管-测线美-自产-侧颜-双十一人群-ROI-10.2,暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,682da89000000000210019d8,5c6e75ba000000001201be11,视频笔记,直播通投托管-测线美-自产-消失术-双十一人群-ROI-10.2,146066964,2025-10-02 10:39:57,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2492024808,直播通投托管-测线美-自产-侧颜-双十一人群-ROI-10.2,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,6811ea2d000000002100bec3,5c6e75ba000000001201be11,图文笔记,直播通投托管-测线美-自产-消失术-双十一人群-ROI-10.2,146066964,2025-10-02 10:39:57,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491856476,直播通投托管-糯糯杯大胸-转载-追问-高级感穿搭-ROI-10.2,暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68c923bb000000000e021931,5c6e75ba000000001201be11,视频笔记,直播通投托管-糯糯杯大胸-转载-初秋-高级感穿搭-ROI-10.2,146059840,2025-10-02 10:36:33,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491856475,直播通投托管-糯糯杯大胸-转载-初秋-高级感穿搭-ROI-10.2,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68ccac860000000011017183,5c6e75ba000000001201be11,视频笔记,直播通投托管-糯糯杯大胸-转载-初秋-高级感穿搭-ROI-10.2,146059840,2025-10-02 10:36:33,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491856474,直播通投托管-糯糯杯大胸-混剪-空气感-高级感穿搭-ROI-10.2,暂停,不满足审核条件,通投,直播间直接支付ROI,笔记（直播组件）,68bab09c000000001b033b38,5c6e75ba000000001201be11,视频笔记,直播通投托管-糯糯杯大胸-转载-初秋-高级感穿搭-ROI-10.2,146059840,2025-10-02 10:36:33,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491766585,直播通投托管-糯糯杯大胸-转载-追问-双十一人群-ROI-10.2,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68c923bb000000000e021931,5c6e75ba000000001201be11,视频笔记,直播通投托管-糯糯杯大胸-转载-追问-双十一人群-ROI-10.2,146059825,2025-10-02 10:35:39,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491766584,直播通投托管-糯糯杯大胸-转载-初秋-双十一人群-ROI-10.2,暂停,不满足审核条件,通投,直播间直接支付ROI,笔记（直播组件）,68ccac860000000011017183,5c6e75ba000000001201be11,视频笔记,直播通投托管-糯糯杯大胸-转载-追问-双十一人群-ROI-10.2,146059825,2025-10-02 10:35:39,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2491766583,直播通投托管-糯糯杯大胸-混剪-空气感-双十一人群-ROI-10.2,暂停,不满足审核条件,通投,直播间直接支付ROI,笔记（直播组件）,68bab09c000000001b033b38,5c6e75ba000000001201be11,视频笔记,直播通投托管-糯糯杯大胸-转载-追问-双十一人群-ROI-10.2,146059825,2025-10-02 10:35:39,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
